City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Sioux Lookout,CA,50.1001,-91.917,51.8,40,90,4.61,overcast clouds
80,Devils Lake,US,48.1128,-98.8651,44.6,61,75,12.66,broken clouds
81,Warmbad,NA,-28.45,18.7333,54.39,79,25,9.66,scattered clouds
82,Zhuanghe,CN,39.7008,122.9911,54.82,68,47,13.8,scattered clouds
83,Isabela,PH,6.7085,121.9711,86.0,74,20,9.22,few clouds
84,Kamenka,RU,51.3223,42.7678,39.0,67,7,4.14,clear sky
85,Margate,GB,51.3813,1.3862,44.01,76,99,8.99,overcast clouds
86,Hatillo,PR,18.4863,-66.8254,73.0,94,75,8.05,broken clouds
87,Manta,EC,-0.95,-80.7333,77.0,83,75,3.44,broken clouds
88,Khatanga,RU,71.9667,102.5,33.6,94,100,8.21,overcast clouds
89,Bethel,US,41.3712,-73.414,62.6,82,75,4.61,broken clouds
90,Ermoupolis,GR,37.4423,24.9425,64.4,72,89,1.14,overcast clouds
91,Chuy,UY,-33.6971,-53.4616,54.5,88,2,3.6,clear sky
92,Kaitangata,NZ,-46.2817,169.8464,60.01,60,84,15.01,broken clouds
93,Uvarovo,RU,51.9849,42.2615,37.74,79,7,5.46,clear sky
94,Albany,US,42.6001,-73.9662,57.0,89,80,2.86,broken clouds
95,Kapaa,US,22.0752,-159.319,72.0,88,90,10.36,light rain
96,Port Alfred,ZA,-33.5906,26.891,67.37,86,100,15.77,light rain
97,Butaritari,KI,3.0707,172.7902,81.72,77,91,10.8,moderate rain
98,Mao,ES,39.8885,4.2658,60.8,94,90,8.05,overcast clouds
99,Half Moon Bay,US,37.4636,-122.4286,62.6,87,1,5.75,mist
100,Barrow,US,71.2906,-156.7887,19.4,86,90,9.22,overcast clouds
101,Ambon,ID,-3.6954,128.1814,83.57,67,81,4.63,light rain
102,Valparaiso,CL,-33.0393,-71.6273,55.0,84,2,2.21,clear sky
103,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,1,8.05,clear sky
104,El Alto,PE,-4.2714,-81.2147,68.97,75,39,12.35,scattered clouds
105,Poum,NC,-20.2333,164.0167,75.69,51,0,4.12,clear sky
106,Cabo Rojo,PR,18.0866,-67.1457,75.99,90,27,1.01,scattered clouds
107,La Ronge,CA,55.1001,-105.2842,30.2,64,97,4.61,overcast clouds
108,Nyurba,RU,63.2842,118.3319,36.82,60,9,1.63,clear sky
109,Yar-Sale,RU,66.8333,70.8333,15.48,93,85,6.06,overcast clouds
110,Carnarvon,AU,-24.8667,113.6333,82.4,51,0,10.36,clear sky
111,Hokitika,NZ,-42.7167,170.9667,53.55,74,100,0.92,overcast clouds
112,Anadyr,RU,64.75,177.4833,28.4,74,0,8.95,clear sky
113,Myitkyina,MM,25.3833,97.4,92.07,32,4,1.95,clear sky
114,Tambopata,PE,-12.7333,-69.1833,66.65,79,100,3.13,overcast clouds
115,Mar Del Plata,AR,-38.0023,-57.5575,63.0,94,0,9.22,clear sky
116,Hithadhoo,MV,-0.6,73.0833,83.98,70,61,10.63,broken clouds
117,Maryborough,AU,-25.5333,152.7,77.0,62,87,5.99,overcast clouds
118,Khilok,RU,51.3674,110.4676,38.57,28,5,4.0,clear sky
119,Terney,RU,45.0503,136.6092,54.27,39,2,8.12,clear sky
120,Blackwater,AU,-23.5833,148.8833,77.67,42,100,11.43,overcast clouds
121,Marmande,FR,44.5,0.1667,46.99,92,100,1.01,overcast clouds
122,Ulaangom,MN,49.9811,92.0667,58.95,39,27,2.82,scattered clouds
123,Rawson,AR,-43.3002,-65.1023,64.81,60,38,10.4,scattered clouds
124,Tezpur,IN,26.6333,92.8,93.56,27,4,6.15,clear sky
125,Cherskiy,RU,68.75,161.3,30.4,93,100,10.25,overcast clouds
126,Mlonggo,ID,-6.5333,110.7,87.8,58,20,6.91,few clouds
127,Tabou,CI,4.423,-7.3528,78.6,87,100,5.91,overcast clouds
128,Farrukhnagar,IN,17.0778,78.2011,89.6,45,20,4.61,few clouds
129,Carahue,CL,-38.7,-73.1667,55.4,100,90,1.14,mist
130,Southbridge,US,42.0751,-72.0334,55.99,92,64,2.46,broken clouds
131,Beloha,MG,-25.1667,45.05,68.88,83,0,5.32,clear sky
132,Touros,BR,-5.1989,-35.4608,75.2,88,20,3.44,few clouds
133,Maldonado,UY,-34.6667,-54.9167,53.6,94,0,1.14,fog
134,Nome,US,64.5011,-165.4064,30.99,69,75,16.11,broken clouds
135,Kahului,US,20.8947,-156.47,78.8,78,75,9.22,broken clouds
136,Kavaratti,IN,10.5669,72.642,84.33,68,6,3.13,clear sky
137,Mayo,US,38.8876,-76.5119,71.01,88,1,7.36,clear sky
138,Derzhavinsk,KZ,51.1,66.3167,52.27,58,99,10.8,overcast clouds
139,Abu Samrah,SY,35.3029,37.1841,63.3,43,6,4.68,clear sky
140,Port Blair,IN,11.6667,92.75,83.89,67,85,0.69,overcast clouds
141,Manhuacu,BR,-20.2581,-42.0336,63.97,96,88,2.06,overcast clouds
142,Uige,AO,-7.6087,15.0613,66.78,96,88,0.49,light rain
143,Mount Isa,AU,-20.7333,139.5,86.0,20,75,10.36,broken clouds
144,Siddipet,IN,18.1,78.85,89.56,30,97,5.95,overcast clouds
145,Champerico,GT,14.3,-91.9167,66.0,96,77,0.67,broken clouds
146,Port Moresby,PG,-9.4431,147.1797,78.8,89,90,4.61,heavy intensity rain
147,Maneadero,MX,31.7167,-116.5667,61.0,83,0,1.99,clear sky
148,Yamaranguila,HN,14.2833,-88.25,62.06,86,100,3.29,overcast clouds
149,Makakilo City,US,21.3469,-158.0858,80.6,61,90,8.05,light rain
150,Behbahan,IR,30.5959,50.2417,69.8,32,0,9.22,clear sky
151,Saldanha,ZA,-33.0117,17.9442,48.2,93,0,2.3,clear sky
152,Zelenoborsk,RU,61.4669,64.0333,39.49,90,100,7.02,overcast clouds
153,Caravelas,BR,-17.7125,-39.2481,74.03,85,74,4.85,broken clouds
154,Kalmunai,LK,7.4167,81.8167,83.43,71,76,4.25,broken clouds
155,Kodiak,US,57.79,-152.4072,42.8,87,90,9.22,mist
156,Alytus,LT,54.4,24.05,33.8,80,0,4.61,clear sky
157,Victoria,HK,22.2855,114.1577,75.99,70,54,1.01,broken clouds
